상품번호,상품명,상품링크,깨진이미지수,전체이미지수,깨진이미지주소,응답코드
6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,https://www.musinsa.com/products/6979621,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0112NY/05.jpg,"의심(작음 1,003B)"
6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,https://www.musinsa.com/products/6979621,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0112NY/06.jpg,"의심(작음 1,003B)"
6980121,[크롭] 데님 트러커 자켓_블루,https://www.musinsa.com/products/6980121,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0201BL/02.jpg,"의심(작음 1,003B)"
6980121,[크롭] 데님 트러커 자켓_블루,https://www.musinsa.com/products/6980121,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0201BL/03.jpg,"의심(작음 1,003B)"
6980121,[크롭] 데님 트러커 자켓_블루,https://www.musinsa.com/products/6980121,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0201BL/04.jpg,"의심(작음 1,003B)"
6980121,[크롭] 데님 트러커 자켓_블루,https://www.musinsa.com/products/6980121,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0201BL/05.jpg,"의심(작음 1,003B)"
6980121,[크롭] 데님 트러커 자켓_블루,https://www.musinsa.com/products/6980121,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0201BL/06.jpg,"의심(작음 1,003B)"
6979573,[크롭] 와플 후드 롱슬리브_차콜,https://www.musinsa.com/products/6979573,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0101CH/02.jpg,"의심(작음 1,003B)"
6979573,[크롭] 와플 후드 롱슬리브_차콜,https://www.musinsa.com/products/6979573,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0101CH/03.jpg,"의심(작음 1,003B)"
6979573,[크롭] 와플 후드 롱슬리브_차콜,https://www.musinsa.com/products/6979573,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0101CH/04.jpg,"의심(작음 1,003B)"
6979573,[크롭] 와플 후드 롱슬리브_차콜,https://www.musinsa.com/products/6979573,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0101CH/05.jpg,"의심(작음 1,003B)"
6979573,[크롭] 와플 후드 롱슬리브_차콜,https://www.musinsa.com/products/6979573,5,10,https://cgraphy.diskn.com/KIIMUIR/2026/26FW/KBFMF0101CH/06.jpg,"의심(작음 1,003B)"
